"Emblemática avenida principal de Madrid, es muy bonita recorrela y ver los innumerables locales comerciales. Mucho más linda a la noche que se aprecia todo su explendor con la iluminación de las fachadas.","","",""
"Hermosa avenida, un emblema de la ciudad de Madrid. Súper transitada, a lo largo de la misma llena de tiendas, restaurants de todo tipo, cafeterías, hoteles, estaciones de metro, y rodeada de una espléndida arquitectura y majestuosos edificios blancos. Una visita obligada para disfrutar y caminar, aunque no muy recomendable en verano por el calor y ya que no hay nada de sombra.","","",""
"Excelente de las principales atracciones de la. Cuidad de Madrid la infraestructura es algo que resalta del todo muy hermosa consigues todas las tiendas más importante a nivel nacional e internacional así como restaurantes, hoteles, teatros y mucho más...","","",""
"Gran Vía es una estación de las líneas 1 y 5 del Metro de Madrid ubicada bajo la Gran Vía, en el distrito Centro, bajo la Red de San Luis, plazuela donde confluyen la Gran Vía y las calles de Fuencarral, Hortaleza y Montera. Tras la reforma y reapertura en Julio 2021 la estación se ha modernizado bastante y junto a ella la calle Montera en la superficie.","","",""
"Una estación que necesitaba una remodelación urgente. Se ha convertido en una bonita y moderna estación de metro, unida con la puerta del sol por debajo de tierra, ahora es accesible para todo el mundo. Tienes la línea 5 y la línea 1.","","",""
"La conexión entre líneas en perfecta, llegué desde Atocha en la liendres 1 (azul claro) y tuve que cambiar a la línea 5 (verde) para poder llegar hasta la estación de Suanzes, todo super sencillo y rápido, bien señalizado y sin complicaciones. Muy buena opción para moverse por Madrid sin tener que sufrir el tráfico rodado.","","",""
"Populosa vía española, muy concurrida por turistas de muchos países, hoteles fabulosos, locales de comida exquisita, y edificios con hermosas fachadas.","","",""
"Cerrada durante 2 años o más, ha reabierto recientemente. Aparentemente muy bonito. Incluso una mini Expo con cosas halladas durante la reforma. Llama la atención que no hayan puesto escaleras mecánicas en el primer tramo, desde el andén de L1. Eso hace que las sillitas de bebé se suban entre dos. Luego di que hay mecánicas en el resto de tramos.","","",""
"Esto sí que es la esencia de Madrid, con sus edificios monumentales, zonas peatonales, comercios de todo tipo y la palpitante vida de la capital. Gran Vía, de día, de noche, con frío o calor: impresionante","","",""
"Como en todo el Metro, faltan baños públicos vigilados para el uso de los Madrileños que lo necesiten cuando lo usamos. A mí no me importaría pagar por su uso, pero que existan. La nueva estación restaurada y su museo de cosas encontradas en las obras está muy bien.","","",""
"Siempre viva, la gran vía acoge a turistas y residentes, envuelta en un sin fin de flashes y luces, de ruido y sonido de ciudad. Si no has pasado por Gran Vía, no has estado en Madrid.","","",""
"Un sitio inhóspito, lleno de comercios, hoteles, granito y zonas grises falta arbolado, falta verde falta luz. Una vergüenza la tendencia que hay en el Ayuntamiento cada vez ciudades más grises y desagradables para la convivencia","","",""
"La arteria con más vida de todo Madrid. Llena de teatros, comercioss, restaurantes y algunos de los edificios emblemáticos de Madrid. Siempre está llena de gente y se celebran algunos acontecimientos importantes. Paseando por sus calles llegarás a la plaza de Callao o la plaza de España.","","",""
"La remodelación de la nueva estación marca un antes y un después en metro. El uso de las pantallas, los nuevos y futuristas tornos, y sobre todo la recuperación del Templete de acceso de Antonio Palacios son los puntos fuertes de la reinaugurada estación de Gran Vía.","","",""
"Los andenes de la línea 1 fueron abiertos al público en 1919 con el nombre de Red de San Luis al inaugurarse el servicio de metro en la ciudad. No existía todavía como tal la Gran Vía, pero un año después adoptó ese nombre. Durante la dictadura de Franco se cambió el nombre de la estación por el de José Antonio al igual que se había cambiado el nombre de la Gran Vía por Avenida de José Antonio (en alusión a José Antonio Primo de Rivera). El 26 de febrero de 1970 se inauguraron los andenes de la línea 5 directamente con el nombre de José Antonio, siendo puestos en servicio el lunes 2 de marzo del mismo año, y 14 años más tarde, en 1984, la estación retomó el nombre de Gran Vía. Durante muchos años la imagen de esta estación fue la del templete que albergaba los ascensores, obra del arquitecto Antonio Palacios. Era de granito pulimentado y tenía una marquesina de hierro y cristal. Para utilizar el ascensor había que pagar unos céntimos. El vestíbulo original, también obra de Palacios, estaba decorado con azulejos. Cuando se desmanteló el templete en 1972 se trasladó a Porriño(Pontevedra), pueblo natal del arquitecto. Actualmente hay un proyecto para instalar una réplica.","","",""
"Calle más famosa de Madrid, lugar perfecto para salir a pasear ya sea en pareja o con la familia, tiene muchísimos sitios para tomar algo tranquilamente en terraza o dentro de los locales. Tiene una gran variedad de tiendas desde primark, zara, mango, primor, etc... con unas vistas espectaculares de noche con la mítica schweppes de fondo y sus miradores que alcanza a ver toda esta ciudad maravillosa.","","",""
"Lugar de referencia en las visitas a Madrid, sobre todo una vez que se ha abierto de nuevo la estación de Metro con el monumental templete que reproduce el original diseñado por el arquitecto Antonio Palacios. En su homenaje, foto de las obras en los días previos a su inauguración.","","",""
"La vida más intensa que se puede tener es en la gran vía. Mezcla de todo el mundo cada quien su vida y un caos realmente muy agradable.","","",""
"Gran estación maravillosa moderna accesible perfecta la última tecnología unión entre líneas 1 y 5 de metro además de cercanías","","",""
"Espectacular...las tiendas de marca más famosas.","","",""
"Muy buena estación de metro, teniendo más aún en cuenta que es un punto de entrada de extranjeros a Madrid","","",""
"Lindos edificios a lado y lado de la vía. Una combinación sutil entre la modernidad y lo antiguo, para un estudiante o amante de la arquitectura esta GranVía es el lugar perfecto para desarrollar nuevas  ideas de edificación.","","",""
"Una estación de metro hermosa en el corazón de Madrid (recién remodelada por lo que vi), las calles aledañas llenas de tiendas y toda la mezcla de cultura es exquisito, me encantaría volver a Madrid.","","",""
"La emblemática Gran Vía de Madrid. Un lugar que conecta con todos los lugares turísticos de la ciudad. Lo recomendo como primera parada en su primera vez en Madrid o España","","",""
"Una calle ideal para comprar o para tomar algo con amigos. Los fines de semana suele estar muy llena así que recomiendo más ir entre semana y si puede ser no en época turística. La arquitectura es preciosa, aquí encontrarás algunos de los edificios más emblemáticos de Madrid.","","",""
"Parada céntrica del metro de Madrid , ¿quién no ha estado en Gran Vía? Zona obligatoria para turistas para empaparse del centro de Madrid , tiene mucha vida. Zona comercial , de ocio y restauración. Hay que darse un buen paseo por esta zona.","","",""
"Punto muy apropiado para apreciar historia, y por que no detenerse a escuchar musica llanera colombiana.","","",""
"Calle emblemática de Madrid que aún conserva gran parte de teatros y cines clásicos además de estar llena de tiendas comerciales y lugares para comer con una gran variedad de unos y otros. Está muy bien comunicada con el metro con las líneas 5 y 1 pegada a Callao, estando esta justo en frente. Se recomienda no ir en coche y más si no es uno que puedan multar por entrar en zona restrictiva.","","",""
"Genial para ir a pasear.","","",""
"El corazón de Madrid, la calle principal, la gente, los comercios, los cines y teatros, librerías, bares y restaurantes, edificios emblemáticos, todo esta en esta calle, visita obligada para todos, sencillamente porque aquí es donde entenderás lo que se vive y se siente en la capital. Aquí te entraran las ganas de volver a disfrutar de ella y comenzaras a buscar fechas para tu retorno. Para los que la tenemos a diario aun con su bullicio y sus aceras repletas, la gran vía es la bandera de nuestra ciudad, el símbolo de sus edificios espectaculares y esculturas escondidas entre las azoteas. Disfrutala. Disfruta Madrid, claro que si.","","",""
"Espectacular la vista en época navideña, los juegos de luces, el árbol y las proyecciones en los edificios de la Avenida Gran Vía, hacen que sea un encuentro imperdible en la visita a Madrid en esta temporada de invierno en fin de año. Muy recomendable ir preparado para largas caminatas por el centro de la ciudad.","","",""
"Calle principal ge Madrid","","",""
"Mi lugar favorito para caminar a cual hora del día","","",""
"Es una de las principales arterias de Madrid, muy bulliciosa, con muchas tiendas, restauración y espectáculos. Siempre tiene mucha vida, pero hay que andar con cien ojos porque también hay mucho ladrón. Es un lugar para perderse entre la gente y las callejuelas, y si estás de visita no te puedes ir sin verla.","","",""
"Si visita España no puede dejar de visitar estos lugares","","",""
"Gran cambio el de la calle Montera cuyo inicio preside ahora está espectacular entrada de metro (al más puro estilo de Gotham 😜)…","","",""
"Preciosa estación sobretodo desde su última reforma en la que han dejado una mini exposición de su historia. Además de un acceso llamativo a las plataformas. Aunque a muchos no les guste, la marquesina madrileña es sencilla y con encanto.","","",""
"Muy comercial y exclusivo viajamos por las europeas..España","","",""
"Una parada de metro que conecta la Gran vía por la parte trasera(para mi), es bastante moderna comparando con otras y con subir llegas a la calle donde están todas las tiendas","","",""
"De día y de noche hay vida en este lugar, mucho movimiento de gente y gran ambiente alrededor, hay restaurantes y lugares para todos los gustos. Facilidad para transportarse , preferiblemente recomiendo usar metro que otro transporte ya que va más fácil y menos atasco.","","",""
"Con la boca de metro recién restaurada, ahora será más  que Gran Via.🤔💯💢💯…","","",""
"Lugar emblemático de Madrid. Majestuoso y hermoso. Visita obligada de todos los visitantes.","","",""
"Uno de las maravillas de madrid.","","",""
"Al llegar a Gran Via, te encuentras con variedad de tiendas y turistas variados, con abundante afluencia en esta época decembrina, de noche es una sensación agradable de luces de colores que decoran las vías y calles.","","",""
"Una de las principales arterias madrileñas. Siempre una maravilla y pletórica de actividades culturales y ocio, locales para tomar algo, tiendas, etc. Tambien un verdadero museo al aire libre de fachadas aristocráticas. Hoy la encontré como una gran olla a presión de algazara y bullanga con la manifestación colombiana sobre la sangrante, intolerable e insostenible situación dramática que vive el país de clima de Guerra Civil.","","",""
"Vale la pena recorrer esta avenida tan emblemática de Madrid. Es mágico  poder recorrerla y ver tu trajín. Hay buenos bares y lugares para pasar el rato. Esta bien conectada con los metros y buses. Es muy segura.","","",""
"Céntrica calle desde la plaza de España hasta la Cibeles. Lugar siempre llena de turistas","","",""
"Reabierta ya otra vez. Ha quedado muy bien. Muy interesante el túnel que enlaza con Sol, cercanías y metro, se recorre en menos de 5 minutos y es toda una obra de ingeniería. El templete de entrada en la Red de San Luis también ha quedado muy bien. Lo único que no me convence es la señalización. He visto a unos cuantos literalmente desesperarse intentando llegar donde pretendían.","","",""
"Es una avenida muy bien mantenida, emblematica con fachadas tipicas del esplendor del siglo paado y más. Fue remodelada hace muy poco. Es muy comercial y un excelente paseo para turistas y madrileños. Posee gran variedad de comercios y servicios.","","",""
"Se ha quedado bastante bien tras la reforma, la estación más moderna del sistema. Me gustaría si anunciaran cuando vienen los metros más.","","",""
"Sitio histórico e  imprescindible de Madrid, en navidad todavía más.","","",""
